cod_usuario,data_cadastro,faixa_etaria,cidade,estado
273049,2020-06-12,Entre 62 a 70 anos,Conceição da Aparecida,Minas Gerais
273378,2020-03-18,Entre 50 a 61 anos,Quixabeira,Bahia
273489,2021-04-30,Entre 50 a 61 anos,Caçapava do Sul,Rio Grande do Sul
273657,2019-04-09,Entre 22 a 27 anos,Cachoeira de Minas,Minas Gerais
274061,2020-01-28,Mais de 70 anos,Brejinho,Rio Grande do Norte
274135,2019-04-27,Entre 37 a 49 anos,Rolador,Rio Grande do Sul
274136,2020-07-15,Entre 28 a 36 anos,Piracema,Minas Gerais
274146,2020-10-29,Entre 50 a 61 anos,Mato Verde,Minas Gerais
274230,2020-02-10,Entre 10 a 15 anos,Rio Espera,Minas Gerais
274337,2019-09-04,Entre 22 a 27 anos,Canitar,São Paulo
275548,2019-02-26,Entre 62 a 70 anos,Engenheiro Paulo de Frontin,Rio de Janeiro
276030,2019-11-30,Mais de 70 anos,Vargem,Santa Catarina
276265,2021-02-10,Entre 37 a 49 anos,Itarumã,Goiás
276625,2019-07-10,Entre 28 a 36 anos,Lagoa de Itaenga,Pernambuco
277146,2020-01-03,Entre 37 a 49 anos,Rio Branco,Mato Grosso
279209,2021-05-26,Entre 28 a 36 anos,Iapu,Minas Gerais
279355,2019-09-14,Mais de 70 anos,Rolândia,Paraná
279822,2020-07-28,Entre 50 a 61 anos,Brejetuba,Espírito Santo
280596,2019-06-09,Entre 62 a 70 anos,Riachinho,Tocantins
280626,2019-12-05,Entre 10 a 15 anos,Frecheirinha,Ceará
281058,2020-08-23,Entre 10 a 15 anos,Choró,Ceará
281314,2020-05-31,Entre 16 a 21 anos,Vassouras,Rio de Janeiro
282060,2020-03-01,Entre 37 a 49 anos,Parnamirim,Pernambuco
282420,2019-02-06,Entre 37 a 49 anos,Herval d'Oeste,Santa Catarina
282460,2019-03-29,Entre 10 a 15 anos,Engenheiro Coelho,São Paulo
282582,2020-09-03,Entre 50 a 61 anos,Rio Brilhante,Mato Grosso do Sul
282801,2020-01-19,Mais de 70 anos,Itanhandu,Minas Gerais
283385,2019-12-19,Mais de 70 anos,Macaíba,Rio Grande do Norte
283739,2019-06-26,Entre 10 a 15 anos,Joaquim Távora,Paraná
283810,2021-05-03,Entre 37 a 49 anos,Coxilha,Rio Grande do Sul
283973,2019-02-17,Entre 62 a 70 anos,Paranaiguara,Goiás
284636,2019-04-10,Entre 22 a 27 anos,Araricá,Rio Grande do Sul
285597,2021-06-16,Entre 28 a 36 anos,Bom Jesus do Oeste,Santa Catarina
285647,2021-05-26,Entre 28 a 36 anos,Cacimba de Dentro,Paraíba
286088,2021-07-08,Entre 37 a 49 anos,Afonso Bezerra,Rio Grande do Norte
286928,2019-08-10,Entre 28 a 36 anos,Barcelona,Rio Grande do Norte
287102,2020-11-22,Entre 37 a 49 anos,Serra Azul,São Paulo
287311,2020-08-30,Entre 62 a 70 anos,Irapuru,São Paulo
287477,2020-10-05,Entre 37 a 49 anos,Cachoeira de Minas,Minas Gerais
288446,2021-05-07,Entre 50 a 61 anos,Bezerros,Pernambuco
288816,2019-12-05,Entre 37 a 49 anos,São Sebastião do Rio Verde,Minas Gerais
289096,2019-01-12,Entre 50 a 61 anos,Rio Negro,Mato Grosso do Sul
290002,2019-05-20,Entre 10 a 15 anos,Ruy Barbosa,Rio Grande do Norte
290176,2020-07-11,Entre 22 a 27 anos,Sena Madureira,Acre
290180,2019-02-20,Entre 50 a 61 anos,Dourados,Mato Grosso do Sul
290453,2021-04-05,Entre 37 a 49 anos,Diadema,São Paulo
290522,2021-04-15,Entre 22 a 27 anos,Vera,Mato Grosso
290696,2020-03-30,Entre 22 a 27 anos,Nazária,Piauí
290801,2021-02-14,Entre 22 a 27 anos,Cidade Ocidental,Goiás
291269,2019-07-10,Entre 16 a 21 anos,Iacanga,São Paulo
291608,2020-03-13,Entre 28 a 36 anos,Tapejara,Rio Grande do Sul
291845,2019-08-01,Entre 22 a 27 anos,Barcelos,Amazonas
291945,2019-08-05,Entre 28 a 36 anos,Novo Airão,Amazonas
292090,2020-05-03,Entre 37 a 49 anos,Santo Amaro da Imperatriz,Santa Catarina
292586,2020-03-08,Entre 62 a 70 anos,Ciríaco,Rio Grande do Sul
293043,2021-04-01,Entre 37 a 49 anos,Alcobaça,Bahia
293146,2019-11-27,Entre 37 a 49 anos,Igaporã,Bahia
293235,2021-02-07,Mais de 70 anos,Uarini,Amazonas
293983,2019-10-27,Entre 16 a 21 anos,Carmésia,Minas Gerais
294438,2021-05-01,Entre 22 a 27 anos,Carneirinho,Minas Gerais
294470,2021-06-04,Entre 10 a 15 anos,Tietê,São Paulo
294606,2020-05-18,Entre 62 a 70 anos,Angatuba,São Paulo
294772,2020-12-03,Entre 50 a 61 anos,Torre de Pedra,São Paulo
294969,2019-04-25,Entre 62 a 70 anos,Melgaço,Pará
295648,2020-04-16,Entre 37 a 49 anos,Dom Cavati,Minas Gerais
296628,2021-01-01,Entre 62 a 70 anos,São José dos Basílios,Maranhão
296840,2019-05-21,Mais de 70 anos,Conceição dos Ouros,Minas Gerais
296925,2020-10-17,Entre 50 a 61 anos,Nova Esperança do Sul,Rio Grande do Sul
297020,2019-11-17,Entre 22 a 27 anos,Oiapoque,Amapá
297252,2020-04-17,Entre 22 a 27 anos,Itapeva,Minas Gerais
297309,2020-01-23,Entre 28 a 36 anos,Boracéia,São Paulo
299294,2019-05-05,Entre 62 a 70 anos,Miraselva,Paraná
299501,2020-03-07,Mais de 70 anos,Videira,Santa Catarina
299990,2020-11-22,Entre 62 a 70 anos,Cordeiro,Rio de Janeiro
301057,2020-02-10,Entre 10 a 15 anos,Independência,Rio Grande do Sul
301191,2021-03-21,Entre 62 a 70 anos,Porto Seguro,Bahia
301286,2019-10-01,Mais de 70 anos,Poço das Antas,Rio Grande do Sul
301657,2019-04-01,Entre 16 a 21 anos,Floresta,Pernambuco
301855,2020-09-21,Entre 16 a 21 anos,Barroquinha,Ceará
301871,2021-01-16,Entre 16 a 21 anos,Santa Rosa de Lima,Sergipe
302178,2021-01-12,Entre 10 a 15 anos,Sobradinho,Rio Grande do Sul
302643,2019-12-08,Entre 50 a 61 anos,Iracemápolis,São Paulo
302942,2019-10-24,Mais de 70 anos,Dourado,São Paulo
303324,2020-09-18,Mais de 70 anos,Guatambú,Santa Catarina
303649,2019-10-07,Entre 50 a 61 anos,Santa Luzia,Maranhão
303734,2019-08-08,Mais de 70 anos,Tamboril do Piauí,Piauí
304212,2019-09-15,Mais de 70 anos,Curral Novo do Piauí,Piauí
304240,2021-01-24,Entre 22 a 27 anos,Jaqueira,Pernambuco
304324,2019-02-27,Entre 50 a 61 anos,Francisco Morato,São Paulo
304382,2021-06-24,Entre 37 a 49 anos,Água Clara,Mato Grosso do Sul
304642,2020-11-04,Entre 50 a 61 anos,Palmeira,Santa Catarina
305140,2020-02-02,Mais de 70 anos,Corumbá,Mato Grosso do Sul
305223,2021-04-09,Entre 37 a 49 anos,Lastro,Paraíba
305260,2020-10-08,Entre 22 a 27 anos,Condado,Paraíba
306041,2020-11-28,Entre 16 a 21 anos,Olinda,Pernambuco
306251,2019-05-01,Entre 22 a 27 anos,Pereira Barreto,São Paulo
306310,2021-05-27,Mais de 70 anos,Benedito Leite,Maranhão
306407,2019-05-07,Entre 28 a 36 anos,Torrinha,São Paulo
307158,2019-08-12,Entre 50 a 61 anos,Sales,São Paulo
307438,2019-07-02,Entre 22 a 27 anos,Reriutaba,Ceará
308261,2020-03-10,Entre 16 a 21 anos,Crixás do Tocantins,Tocantins
308514,2020-06-16,Entre 22 a 27 anos,Piracaia,São Paulo
308841,2021-02-25,Entre 28 a 36 anos,Caparaó,Minas Gerais
309102,2020-08-10,Entre 50 a 61 anos,Conquista,Minas Gerais
309201,2021-04-29,Entre 50 a 61 anos,Monte Aprazível,São Paulo
309294,2020-01-23,Entre 37 a 49 anos,Ituaçu,Bahia
309556,2019-08-29,Entre 22 a 27 anos,Tracunhaém,Pernambuco
309620,2019-12-19,Entre 28 a 36 anos,Porangaba,São Paulo
310115,2019-09-11,Entre 10 a 15 anos,Pilões,Paraíba
310140,2021-06-10,Entre 10 a 15 anos,Brejo,Maranhão
310142,2019-12-28,Mais de 70 anos,Duartina,São Paulo
310357,2020-03-20,Entre 16 a 21 anos,Belo Jardim,Pernambuco
310533,2021-06-25,Entre 37 a 49 anos,Maquiné,Rio Grande do Sul
310674,2019-11-30,Entre 62 a 70 anos,Rinópolis,São Paulo
310700,2021-03-06,Mais de 70 anos,Pratápolis,Minas Gerais
310875,2020-07-01,Entre 22 a 27 anos,Bandeirantes,Mato Grosso do Sul
311171,2020-02-28,Entre 50 a 61 anos,Ituberá,Bahia
311693,2021-04-21,Entre 16 a 21 anos,Jaquirana,Rio Grande do Sul
312104,2021-03-13,Entre 37 a 49 anos,Pitangueiras,São Paulo
312154,2021-07-30,Entre 50 a 61 anos,Satuba,Alagoas
312567,2019-10-29,Entre 28 a 36 anos,Cerqueira César,São Paulo
312783,2021-01-27,Mais de 70 anos,Severiano Melo,Rio Grande do Norte
312966,2019-08-07,Entre 62 a 70 anos,Dom Bosco,Minas Gerais
313828,2020-12-31,Entre 28 a 36 anos,Itanhangá,Mato Grosso
313860,2020-11-01,Entre 37 a 49 anos,Guaraí,Tocantins
314347,2020-01-09,Entre 22 a 27 anos,Novo Brasil,Goiás
314424,2020-07-03,Entre 37 a 49 anos,Aguiar,Paraíba
314630,2019-08-05,Entre 50 a 61 anos,Americano do Brasil,Goiás
315001,2019-05-03,Entre 50 a 61 anos,Perolândia,Goiás
315106,2021-04-25,Entre 10 a 15 anos,Bocaina,São Paulo
315110,2021-07-30,Entre 37 a 49 anos,Serra Alta,Santa Catarina
315274,2019-08-10,Entre 16 a 21 anos,Macedônia,São Paulo
315396,2020-06-14,Entre 28 a 36 anos,Baraúna,Paraíba
315575,2020-12-28,Entre 62 a 70 anos,Independência,Rio Grande do Sul
315640,2020-08-07,Mais de 70 anos,Cássia,Minas Gerais
315895,2020-05-15,Entre 28 a 36 anos,Monsenhor Tabosa,Ceará
316380,2021-02-07,Entre 16 a 21 anos,Altair,São Paulo
316901,2019-04-28,Entre 10 a 15 anos,Maetinga,Bahia
316993,2019-09-05,Entre 16 a 21 anos,Bacurituba,Maranhão
317055,2019-04-17,Entre 62 a 70 anos,Pontal do Paraná,Paraná
317094,2019-04-27,Entre 10 a 15 anos,Hidrolândia,Goiás
317117,2020-11-21,Entre 22 a 27 anos,Talismã,Tocantins
317512,2019-12-01,Mais de 70 anos,Campo Maior,Piauí
317515,2019-02-25,Entre 37 a 49 anos,Venda Nova do Imigrante,Espírito Santo
317560,2020-04-14,Entre 10 a 15 anos,Sapucaia,Pará
317844,2019-09-14,Entre 16 a 21 anos,Ipeúna,São Paulo
318114,2020-12-22,Entre 62 a 70 anos,Alvorada do Norte,Goiás
318379,2020-07-10,Entre 50 a 61 anos,Presidente Kennedy,Tocantins
319219,2021-05-05,Entre 28 a 36 anos,Vespasiano,Minas Gerais
320102,2019-01-24,Entre 28 a 36 anos,Campo Novo,Rio Grande do Sul
320387,2020-12-22,Entre 22 a 27 anos,Arealva,São Paulo
320491,2019-08-04,Entre 10 a 15 anos,Caucaia,Ceará
320673,2019-08-18,Mais de 70 anos,Sardoá,Minas Gerais
320702,2019-04-05,Entre 62 a 70 anos,Acajutiba,Bahia
320773,2021-04-16,Mais de 70 anos,Poço Fundo,Minas Gerais
320809,2019-12-09,Entre 28 a 36 anos,Taquarivaí,São Paulo
321290,2019-07-16,Entre 22 a 27 anos,Mampituba,Rio Grande do Sul
321360,2020-04-03,Mais de 70 anos,Garuva,Santa Catarina
321777,2019-10-25,Mais de 70 anos,Rio Azul,Paraná
322031,2019-01-03,Entre 50 a 61 anos,Curral Velho,Paraíba
322205,2019-09-09,Entre 22 a 27 anos,Riachinho,Tocantins
322445,2021-02-17,Entre 22 a 27 anos,Andradas,Minas Gerais
322459,2019-03-27,Entre 62 a 70 anos,Claro dos Poções,Minas Gerais
322885,2019-03-15,Entre 37 a 49 anos,São Miguel dos Milagres,Alagoas
323224,2020-04-11,Entre 22 a 27 anos,Pilão Arcado,Bahia
323516,2019-05-17,Entre 22 a 27 anos,Emilianópolis,São Paulo
323702,2020-03-30,Entre 22 a 27 anos,Massapê do Piauí,Piauí
323813,2019-09-28,Mais de 70 anos,Aliança,Pernambuco
323890,2019-01-12,Mais de 70 anos,São João do Ivaí,Paraná
324387,2021-05-05,Mais de 70 anos,Sobral,Ceará
324742,2019-01-27,Entre 50 a 61 anos,Celso Ramos,Santa Catarina
325941,2019-12-29,Entre 10 a 15 anos,Galiléia,Minas Gerais
326000,2020-05-31,Entre 62 a 70 anos,Vitória Brasil,São Paulo
326220,2021-06-08,Entre 62 a 70 anos,Assis Brasil,Acre
326299,2019-11-22,Entre 50 a 61 anos,Cândido Rodrigues,São Paulo
326791,2019-09-25,Entre 10 a 15 anos,Cachoeira de Goiás,Goiás
326959,2020-04-08,Entre 62 a 70 anos,Coronel Domingos Soares,Paraná
327249,2019-12-26,Entre 22 a 27 anos,Sertão,Rio Grande do Sul
327396,2019-04-28,Entre 62 a 70 anos,Salvador do Sul,Rio Grande do Sul
327701,2020-12-26,Entre 62 a 70 anos,Pavão,Minas Gerais
327836,2021-07-24,Entre 28 a 36 anos,Barão do Triunfo,Rio Grande do Sul
328426,2019-03-12,Mais de 70 anos,Ministro Andreazza,Rondônia
329032,2019-05-22,Entre 28 a 36 anos,Quaraí,Rio Grande do Sul
329309,2021-01-02,Entre 10 a 15 anos,Wenceslau Guimarães,Bahia
329539,2021-03-12,Entre 28 a 36 anos,Querência,Mato Grosso
329659,2019-08-02,Entre 37 a 49 anos,Central de Minas,Minas Gerais
329756,2019-07-08,Entre 16 a 21 anos,São Gonçalo do Sapucaí,Minas Gerais
330577,2019-04-14,Entre 16 a 21 anos,Jaíba,Minas Gerais
331106,2019-11-25,Entre 50 a 61 anos,Jaquirana,Rio Grande do Sul
331215,2019-05-22,Entre 37 a 49 anos,Manduri,São Paulo
331594,2019-12-09,Entre 22 a 27 anos,Ouro Fino,Minas Gerais
331854,2019-09-30,Mais de 70 anos,Estância Velha,Rio Grande do Sul
332046,2020-01-26,Entre 50 a 61 anos,Mari,Paraíba
332758,2019-08-27,Entre 22 a 27 anos,Lagoa do Sítio,Piauí
333042,2019-12-12,Entre 16 a 21 anos,Ouricuri,Pernambuco
333057,2019-09-02,Entre 22 a 27 anos,Ipiranga do Norte,Mato Grosso
333382,2020-01-20,Entre 22 a 27 anos,Itapé,Bahia
334374,2020-12-09,Entre 62 a 70 anos,Nova Odessa,São Paulo
334460,2019-10-28,Entre 22 a 27 anos,Colinas,Maranhão
335479,2021-04-28,Entre 62 a 70 anos,São Pedro dos Ferros,Minas Gerais
336301,2020-01-14,Entre 16 a 21 anos,Simões Filho,Bahia
336691,2021-04-22,Entre 10 a 15 anos,Sagrada Família,Rio Grande do Sul
336868,2021-07-31,Entre 10 a 15 anos,Montezuma,Minas Gerais
337394,2020-01-01,Entre 62 a 70 anos,Agudos do Sul,Paraná
337819,2020-01-10,Entre 62 a 70 anos,Vale Real,Rio Grande do Sul
337916,2020-12-20,Entre 22 a 27 anos,Mirassolândia,São Paulo
338237,2019-12-13,Entre 37 a 49 anos,Salto da Divisa,Minas Gerais
338408,2021-02-25,Entre 50 a 61 anos,Ronda Alta,Rio Grande do Sul
339249,2019-04-18,Entre 10 a 15 anos,Feira Nova do Maranhão,Maranhão
339509,2019-02-01,Entre 62 a 70 anos,Irati,Paraná
340396,2019-02-21,Entre 22 a 27 anos,São Sebastião do Rio Verde,Minas Gerais
340490,2019-06-27,Entre 22 a 27 anos,Nepomuceno,Minas Gerais
340788,2019-01-16,Mais de 70 anos,Miradouro,Minas Gerais
341056,2020-02-19,Entre 50 a 61 anos,Saloá,Pernambuco
342335,2020-03-28,Mais de 70 anos,Castelo,Espírito Santo
342619,2019-12-30,Entre 28 a 36 anos,Carrapateira,Paraíba
342699,2020-07-22,Entre 28 a 36 anos,Vitória,Espírito Santo
342706,2019-02-11,Entre 50 a 61 anos,Rosário do Catete,Sergipe
343077,2020-09-17,Entre 16 a 21 anos,Arapuá,Minas Gerais
343567,2021-01-14,Entre 62 a 70 anos,Corumbá,Mato Grosso do Sul
344474,2020-10-05,Entre 16 a 21 anos,Manacapuru,Amazonas
345193,2021-05-30,Mais de 70 anos,Guaxupé,Minas Gerais
345548,2019-09-23,Entre 10 a 15 anos,Heliodora,Minas Gerais
345686,2019-04-08,Entre 28 a 36 anos,Valentim Gentil,São Paulo
345766,2019-01-24,Entre 28 a 36 anos,Bagé,Rio Grande do Sul
346062,2019-05-11,Entre 10 a 15 anos,Boa Ventura de São Roque,Paraná
346172,2020-05-14,Entre 62 a 70 anos,Lucena,Paraíba
346529,2021-06-12,Mais de 70 anos,Morro do Chapéu do Piauí,Piauí
346749,2019-08-13,Entre 10 a 15 anos,Ponto Chique,Minas Gerais
346853,2019-09-13,Entre 62 a 70 anos,Iapu,Minas Gerais
346888,2020-08-30,Entre 10 a 15 anos,Portalegre,Rio Grande do Norte
347461,2019-02-27,Entre 10 a 15 anos,Santa Cecília do Sul,Rio Grande do Sul
347918,2020-12-28,Entre 62 a 70 anos,Américo de Campos,São Paulo
348173,2021-05-26,Entre 16 a 21 anos,Assunção do Piauí,Piauí
348719,2019-05-29,Entre 16 a 21 anos,Pedranópolis,São Paulo
349401,2021-01-10,Mais de 70 anos,São Pedro dos Crentes,Maranhão
349404,2021-01-31,Entre 50 a 61 anos,Belo Campo,Bahia
349579,2021-06-01,Entre 50 a 61 anos,Feijó,Acre
350128,2020-11-01,Entre 16 a 21 anos,Pontal do Araguaia,Mato Grosso
350201,2021-03-05,Entre 16 a 21 anos,Iturama,Minas Gerais
350464,2021-02-20,Entre 50 a 61 anos,Água Preta,Pernambuco
351156,2020-04-24,Entre 62 a 70 anos,Itaguaçu,Espírito Santo
351383,2021-03-16,Entre 37 a 49 anos,Imbuia,Santa Catarina
351405,2019-09-18,Entre 62 a 70 anos,Canitar,São Paulo
351960,2019-05-27,Entre 10 a 15 anos,Turvolândia,Minas Gerais
352289,2020-01-11,Entre 37 a 49 anos,Campo Grande do Piauí,Piauí
353590,2020-02-06,Entre 10 a 15 anos,Schroeder,Santa Catarina
354161,2021-05-29,Entre 22 a 27 anos,Divisa Alegre,Minas Gerais
354336,2020-05-12,Entre 50 a 61 anos,São Gabriel do Oeste,Mato Grosso do Sul
355082,2019-07-09,Mais de 70 anos,Itamarati de Minas,Minas Gerais
355131,2020-08-02,Mais de 70 anos,Rosário Oeste,Mato Grosso
355703,2021-06-05,Entre 22 a 27 anos,Vera Cruz,Bahia
355719,2020-07-24,Entre 37 a 49 anos,Nicolau Vergueiro,Rio Grande do Sul
356334,2021-03-10,Mais de 70 anos,Arinos,Minas Gerais
356512,2019-11-14,Entre 37 a 49 anos,Bom Jardim,Rio de Janeiro
357117,2020-07-07,Entre 37 a 49 anos,Ibipitanga,Bahia
357628,2019-07-24,Entre 28 a 36 anos,Pauini,Amazonas
358815,2021-05-31,Mais de 70 anos,Entre Rios,Santa Catarina
360704,2021-07-17,Entre 22 a 27 anos,Acaraú,Ceará
361221,2020-05-09,Entre 28 a 36 anos,Uiramutã,Roraima
361927,2020-09-26,Entre 37 a 49 anos,Betânia,Pernambuco
362226,2020-07-01,Entre 10 a 15 anos,Rio Branco do Ivaí,Paraná
362827,2019-03-24,Entre 62 a 70 anos,Nerópolis,Goiás
362972,2020-05-21,Entre 16 a 21 anos,Afonso Bezerra,Rio Grande do Norte
363061,2020-04-29,Mais de 70 anos,Cristais,Minas Gerais
363158,2019-05-25,Entre 16 a 21 anos,Caraguatatuba,São Paulo
364242,2020-07-18,Entre 37 a 49 anos,Altaneira,Ceará
364443,2020-09-27,Entre 50 a 61 anos,Autazes,Amazonas
364464,2021-04-28,Entre 62 a 70 anos,Resende Costa,Minas Gerais
364754,2021-07-10,Entre 16 a 21 anos,Igarapava,São Paulo
366431,2020-09-24,Mais de 70 anos,Itapetinga,Bahia
366659,2019-03-11,Entre 62 a 70 anos,São Paulo das Missões,Rio Grande do Sul
367128,2020-11-09,Entre 16 a 21 anos,Rurópolis,Pará
367211,2020-06-20,Entre 10 a 15 anos,Pereira Barreto,São Paulo
367277,2019-03-08,Mais de 70 anos,Orobó,Pernambuco
367518,2020-02-09,Entre 28 a 36 anos,Bebedouro,São Paulo
367561,2020-05-24,Mais de 70 anos,Cerro Largo,Rio Grande do Sul
368850,2019-05-24,Entre 62 a 70 anos,Sigefredo Pacheco,Piauí
369125,2020-04-16,Entre 16 a 21 anos,Montenegro,Rio Grande do Sul
370140,2019-12-31,Entre 37 a 49 anos,Ipanema,Minas Gerais
370251,2020-07-13,Entre 16 a 21 anos,Wenceslau Braz,Minas Gerais
370366,2021-07-20,Mais de 70 anos,Itagibá,Bahia
370822,2021-03-07,Entre 22 a 27 anos,Lucélia,São Paulo
370987,2020-04-14,Entre 22 a 27 anos,Santa Tereza,Rio Grande do Sul
371041,2020-02-17,Entre 28 a 36 anos,Campo Bonito,Paraná
371123,2019-03-28,Entre 16 a 21 anos,Barão do Triunfo,Rio Grande do Sul
371182,2019-10-29,Entre 37 a 49 anos,Japaraíba,Minas Gerais
371748,2019-07-21,Entre 62 a 70 anos,Formoso do Araguaia,Tocantins
371765,2020-03-11,Entre 62 a 70 anos,Carinhanha,Bahia
372015,2019-03-03,Entre 16 a 21 anos,Dom Basílio,Bahia
372149,2019-07-06,Entre 16 a 21 anos,Arroio do Padre,Rio Grande do Sul
373264,2019-07-13,Entre 62 a 70 anos,Campos Novos Paulista,São Paulo
373280,2020-09-14,Entre 50 a 61 anos,Porto Seguro,Bahia
373960,2021-05-12,Entre 28 a 36 anos,São Paulo de Olivença,Amazonas
374028,2021-05-08,Mais de 70 anos,Pilar de Goiás,Goiás
374182,2019-03-12,Mais de 70 anos,Coqueiro Baixo,Rio Grande do Sul
374741,2019-10-13,Entre 28 a 36 anos,Pindoba,Alagoas
375013,2020-11-12,Entre 16 a 21 anos,Lagoa dos Três Cantos,Rio Grande do Sul
375113,2020-03-05,Mais de 70 anos,Nova Laranjeiras,Paraná
375516,2019-02-01,Entre 50 a 61 anos,Guarapari,Espírito Santo
375527,2021-05-21,Entre 62 a 70 anos,São Roque,São Paulo
375803,2020-04-14,Entre 10 a 15 anos,Lagoa da Canoa,Alagoas
376273,2020-11-26,Entre 22 a 27 anos,Feira Nova do Maranhão,Maranhão
376632,2019-01-04,Entre 16 a 21 anos,Cotegipe,Bahia
376757,2021-06-24,Entre 50 a 61 anos,Baixo Guandu,Espírito Santo
377423,2019-08-08,Entre 62 a 70 anos,Santo Antônio do Leverger,Mato Grosso
378038,2020-10-25,Entre 37 a 49 anos,Santanópolis,Bahia
378530,2021-01-20,Entre 62 a 70 anos,Arabutã,Santa Catarina
378612,2020-04-03,Mais de 70 anos,Davinópolis,Maranhão
378629,2019-06-13,Entre 37 a 49 anos,Aguiar,Paraíba
379254,2021-03-08,Entre 50 a 61 anos,Pombal,Paraíba
379919,2021-03-29,Mais de 70 anos,São Bento do Sapucaí,São Paulo
380068,2020-05-24,Mais de 70 anos,Pindoba,Alagoas
380374,2021-04-30,Entre 37 a 49 anos,Santa Rita de Cássia,Bahia
381041,2020-05-28,Entre 37 a 49 anos,Capela do Alto,São Paulo
381435,2020-03-24,Mais de 70 anos,Inhaúma,Minas Gerais
381548,2021-01-25,Entre 28 a 36 anos,Getulina,São Paulo
382362,2019-08-06,Entre 28 a 36 anos,Davinópolis,Maranhão
382413,2020-04-01,Entre 50 a 61 anos,Miguel Calmon,Bahia
382647,2019-01-31,Entre 28 a 36 anos,Feira Nova,Sergipe
382869,2019-03-26,Entre 22 a 27 anos,Encantado,Rio Grande do Sul
382878,2019-06-15,Entre 28 a 36 anos,Ijuí,Rio Grande do Sul
382927,2019-06-24,Entre 50 a 61 anos,Tomazina,Paraná
384146,2021-05-21,Entre 62 a 70 anos,Chácara,Minas Gerais
384582,2020-02-23,Entre 37 a 49 anos,Orós,Ceará
384669,2019-10-12,Entre 28 a 36 anos,Turvolândia,Minas Gerais
385304,2020-09-05,Entre 37 a 49 anos,Santa Adélia,São Paulo
385962,2019-09-18,Entre 22 a 27 anos,Bela Vista,Mato Grosso do Sul
386304,2019-03-19,Entre 10 a 15 anos,São João da Ponte,Minas Gerais
386408,2021-07-23,Entre 22 a 27 anos,Lauro de Freitas,Bahia
386521,2021-04-27,Entre 10 a 15 anos,São Domingos,Bahia
387113,2020-03-05,Entre 10 a 15 anos,Santa Bárbara,Bahia
387726,2019-01-11,Entre 22 a 27 anos,Cerro Grande do Sul,Rio Grande do Sul
387829,2020-02-12,Entre 50 a 61 anos,Carmópolis de Minas,Minas Gerais
387842,2020-07-20,Entre 37 a 49 anos,Aparecida do Taboado,Mato Grosso do Sul
388276,2019-06-21,Entre 37 a 49 anos,Amaporã,Paraná
388379,2019-11-27,Entre 50 a 61 anos,Fernando de Noronha,Pernambuco
388662,2019-09-01,Entre 16 a 21 anos,Muriaé,Minas Gerais
388717,2019-08-25,Entre 50 a 61 anos,Novo Machado,Rio Grande do Sul
389168,2020-06-26,Entre 50 a 61 anos,Alta Floresta D'Oeste,Rondônia
389472,2021-06-11,Entre 16 a 21 anos,Chaval,Ceará
389853,2020-01-10,Mais de 70 anos,São José do Jacuri,Minas Gerais
389871,2020-10-19,Entre 28 a 36 anos,Maragogi,Alagoas
389956,2019-06-12,Mais de 70 anos,Tijucas do Sul,Paraná
390274,2020-04-07,Entre 22 a 27 anos,Ourém,Pará
390685,2020-08-20,Entre 28 a 36 anos,Placas,Pará
391015,2020-10-22,Entre 37 a 49 anos,Caratinga,Minas Gerais
391212,2021-06-06,Entre 50 a 61 anos,Cerro Negro,Santa Catarina
391338,2020-05-23,Entre 37 a 49 anos,Mogeiro,Paraíba
391432,2021-01-23,Entre 22 a 27 anos,Paulo Bento,Rio Grande do Sul
391502,2019-12-12,Entre 62 a 70 anos,Fátima,Bahia
392163,2020-07-07,Mais de 70 anos,Sertãozinho,São Paulo
393358,2019-12-06,Entre 50 a 61 anos,Barcarena,Pará
393375,2020-12-12,Entre 62 a 70 anos,Guaíra,Paraná
393489,2021-07-11,Entre 16 a 21 anos,Coqueiral,Minas Gerais
393783,2020-02-20,Entre 50 a 61 anos,Carneiros,Alagoas
394139,2021-01-27,Entre 37 a 49 anos,Natividade da Serra,São Paulo
394278,2020-05-30,Entre 16 a 21 anos,Mairiporã,São Paulo
394308,2021-01-09,Entre 50 a 61 anos,Afonso Bezerra,Rio Grande do Norte
394763,2020-06-17,Entre 62 a 70 anos,Maranguape,Ceará
395378,2020-04-13,Entre 37 a 49 anos,Novo Progresso,Pará
396459,2021-04-12,Entre 16 a 21 anos,Pau D'Arco,Pará
396557,2021-05-19,Entre 22 a 27 anos,Cariri do Tocantins,Tocantins
396570,2019-08-21,Entre 28 a 36 anos,Maravilhas,Minas Gerais
397006,2020-05-21,Entre 28 a 36 anos,Moreno,Pernambuco
397046,2021-07-12,Entre 10 a 15 anos,Miguel Calmon,Bahia
397066,2020-12-24,Mais de 70 anos,Vista Gaúcha,Rio Grande do Sul
397195,2020-06-26,Entre 62 a 70 anos,Palestina de Goiás,Goiás
397279,2020-10-30,Mais de 70 anos,Cubati,Paraíba
397369,2020-10-12,Entre 10 a 15 anos,Curuçá,Pará
397407,2020-07-21,Entre 28 a 36 anos,Praia Grande,Santa Catarina
397434,2019-08-28,Entre 16 a 21 anos,Pires do Rio,Goiás
397569,2020-05-10,Entre 28 a 36 anos,Careiro da Várzea,Amazonas
398615,2020-09-04,Mais de 70 anos,Morro Reuter,Rio Grande do Sul
